[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Location: X 5.404500 Y 0.000000 Z 16.178101
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Model Detected: Mountain_Group_2.001
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Location: X -4.771100 Y 0.000000 Z -17.244699
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Model Detected: Mountain_Group_2.002
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Location: X -16.805799 Y 0.000000 Z 13.665200
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Model Detected: Mountain_Group_2.003
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Location: X 16.806101 Y 0.000000 Z 9.064700
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Model Detected: Mountain_Group_2.004
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Location: X -15.076000 Y 0.000000 Z -13.477500
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Model Detected: Mountain_Group_2.005
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Location: X 15.667400 Y 0.000000 Z -16.797100
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Model Detected: Mountain_Group_2.006
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Location: X -9.217200 Y 0.000000 Z 16.955299
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Model Detected: Mountain_Group_2.007
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Location: X -15.898400 Y 0.000000 Z -4.665900
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Model Detected: Mountain_Group_2.008
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Location: X 5.090200 Y 0.000000 Z -17.068100
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Model Detected: Mountain_Group_1.008
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Location: X -0.598600 Y 0.000000 Z -16.961000
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Model Detected: Mountain_Group_1.009
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Location: X -15.767800 Y 0.000000 Z 0.043500
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Model Detected: Mountain_Group_1.010
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Location: X 13.975100 Y -0.000000 Z 5.459700
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Model Detected: Mountain_Group_1.011
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Location: X -4.597100 Y -0.000000 Z 13.966900
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Model Detected: Mountain_Group_2.009
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Location: X -14.070200 Y 0.000000 Z 4.852300
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Model Detected: Mountain_Group_1.012
